Date,regime_prob_0,regime_prob_1,regime_prob_2,regime_prob_3,regime
2021-12-16,0.9766993388916396,8.651030318780855e-12,7.739139179688055e-05,0.02322326970739088,0
2021-12-17,0.9905089276735529,1.334481268093199e-13,5.6654901971659976e-05,0.009434417425073631,0
2021-12-20,0.9951681833770748,1.1855450929352753e-15,4.272396144474282e-05,0.004789092660864577,0
2021-12-21,0.9701403248813024,2.5830405285224728e-14,1.0162085123869113e-05,0.029849513033229854,0
2021-12-22,0.13641569267336254,2.2137568198012044e-09,8.071759615084243e-07,0.8635834979371781,3
2021-12-23,0.00619647191595467,9.060925666899642e-07,9.102167593580167e-08,0.9938025309695089,3
2021-12-27,0.0005378791040273988,3.8260031799955175e-07,2.921549752773424e-09,0.9994617353743487,3
2021-12-28,3.155594600770329e-05,7.802322144216788e-06,1.300556888962143e-10,0.9999606416019015,3
2021-12-29,1.465403867259216e-05,2.8416037133026614e-05,1.0390550523464235e-10,0.9999569298196079,3
2021-12-30,1.754891507741976e-05,1.5122261888160069e-05,9.971122184693076e-11,0.9999673287228042,3
2021-12-31,1.610990828615289e-05,1.977008246830491e-05,8.824438959713654e-11,0.9999641199208432,3
2022-01-03,1.430188504573526e-05,3.455129811183155e-05,1.3493055100300795e-10,0.9999511466813743,3
2022-01-04,1.6699315793570195e-05,3.7825314111692e-05,2.2515630377813795e-09,0.9999454731192443,3
2022-01-05,0.000356735362172908,3.758117557963471e-09,2.1328356020720257e-08,0.9996432395514392,3
2022-01-06,0.0003250184151221365,2.2121490914657077e-08,1.8510738654808383e-09,0.9996749576127467,3
2022-01-07,0.00010399964102411539,3.070531431049177e-07,2.4099259004919277e-09,0.9998956908966403,3
2022-01-10,0.00022673795575018865,4.2871250697543716e-08,3.746831001135559e-09,0.9997732154269217,3
2022-01-11,0.0002650600575934252,1.7311249305554687e-07,2.5009776651444925e-08,0.9997347418199811,3
2022-01-12,0.0011530811053429302,4.101224303366983e-06,3.53043929361037e-07,0.9988424646255465,3
2022-01-13,0.04390286353877281,1.2957482394444874e-09,6.450262338219216e-06,0.9560906849023958,3
2022-01-14,0.1493676240319177,2.6569794241028344e-09,1.640724090259044e-05,0.8506159660698855,3
2022-01-18,0.9657177595361329,4.902720819670051e-17,0.0001007820383621942,0.0341814584253967,0
2022-01-19,0.9996734973800877,6.874643696508352e-21,0.00019926677594604925,0.0001272358444928518,0
2022-01-20,0.9967343454646146,2.813907418912178e-28,0.003265580763400765,7.377174268010336e-08,0
2022-01-21,0.9494597652719107,1.592885354408138e-42,0.05054023472048269,7.746168477513485e-12,0
2022-01-24,0.8514136528992752,1.4273973368413584e-51,0.14858634710152385,4.23075409027945e-15,0
2022-01-25,0.7688211477716944,1.7338314652566802e-58,0.23117885222762752,6.401482236020619e-16,0
2022-01-26,0.7449366270385516,1.9041500614445183e-63,0.25506337296182213,2.3890116323508305e-18,0
2022-01-27,0.7900978286643474,2.3493389904797127e-59,0.20990217133510197,2.3904620860697942e-15,0
2022-01-28,0.8609968433121,4.814731944860323e-52,0.1390031566881796,2.3326048983677983e-14,0
2022-01-31,0.9814716165269405,4.433776073825142e-39,0.018528381643850903,1.8295925486842638e-09,0
2022-02-01,0.9991104932861326,5.238445702990106e-24,0.0008496879824275222,3.9818732179153804e-05,0
2022-02-02,0.9998925850864151,7.531587788019584e-21,8.702734387752414e-05,2.038757025236006e-05,0
2022-02-03,0.9998518107003003,2.1624470569259522e-26,0.00014627355577494932,1.9157432507017165e-06,0
2022-02-04,0.9999594013862935,7.459176166709562e-24,3.731012122184882e-05,3.2884923452881865e-06,0
2022-02-07,0.9999419841701271,3.1007771539029975e-21,3.241383569840679e-05,2.560199424270411e-05,0
2022-02-08,0.9998259538616983,1.2896242823754761e-17,4.3739458582823166e-05,0.00013030667918982337,0
2022-02-09,0.999373047534888,1.905335523059385e-16,8.688847401439922e-05,0.0005400639909932279,0
2022-02-10,0.9999032979769733,3.2006914419875044e-23,8.912562694592098e-05,7.576396746956244e-06,0
2022-02-11,0.999784278425982,2.2714242646156716e-35,0.00021572073620996102,8.386813436263676e-10,0
2022-02-14,0.9997314401279358,8.923071452632778e-43,0.0002685598649699989,6.275224489931447e-12,0
2022-02-15,0.9997664497491281,2.5638315381231334e-39,0.00023354989358669042,3.5691781114285746e-10,0
2022-02-16,0.9994847626399598,1.220698531329938e-30,0.0005147728487852626,4.6451113915757896e-07,0
2022-02-17,0.9896922439667876,2.773837827694395e-39,0.010307755935605184,9.780268945720319e-11,0
2022-02-18,0.9628141839363615,1.8164130852121078e-41,0.03718581598977411,7.352294834983038e-11,0
2022-02-22,0.7882077803113914,2.489245222601251e-45,0.21179221968561474,2.9686094500494223e-12,0
2022-02-23,0.2585584931910004,1.2307897967456007e-55,0.7414415068092215,9.947272934807663e-16,2
